elapsed_min,app_mb,wv_count,wv_total_mb,grand_total_mb,handles,threads
0,231.5,6,454.9,686.4,1381,48
0.5,233.4,6,454.8,688.2,1403,53
1,239.1,6,454.8,693.9,1429,54
1.5,243.6,6,454.8,698.4,1463,56
2,244.6,6,454.8,699.4,1447,56
2.5,244.6,6,454.7,699.3,1442,54
3,244.6,6,454.8,699.4,1448,54
3.5,248.5,6,454.8,703.3,1456,54
4,249.2,6,454.8,704,1456,53
4.5,249.3,6,454.8,704.1,1460,54
5,250.3,6,454.8,705.1,1458,54
5.5,250.4,6,454.8,705.2,1462,54
6,250.4,6,454.8,705.2,1441,49
6.5,250.4,6,454.8,705.2,1447,49
7,257.9,6,454.8,712.7,1457,49
7.5,258.4,6,454.8,713.2,1461,49
8,252.5,6,454.9,707.4,1467,49
8.5,253.7,6,454.9,708.6,1445,50
9,253.7,6,454.9,708.6,1442,49
9.5,253.7,6,454.8,708.5,1440,49
10,254.7,6,454.9,709.6,1438,49
10.5,254.6,6,454.9,709.5,1442,49
11,254.6,6,454.9,709.5,1450,49
11.5,254.7,6,454.9,709.6,1448,48
12,254.7,6,454.9,709.6,1456,48
12.5,254.7,6,454.9,709.6,1460,48
13,254.7,6,455,709.7,1468,48
13.5,256.5,6,454.9,711.4,1436,49
14,256.9,6,465.2,722.1,1441,50
14.5,257,6,462.4,719.4,1440,50
15,257.2,6,461.9,719.1,1434,48
15.5,257.1,6,461.9,719,1435,48
16,257.4,6,461.8,719.2,1441,48
16.5,257.6,6,461.9,719.5,1447,48
17,257.6,6,463.5,721.1,1455,48
17.5,257.8,6,456,713.8,1427,49
18,257.7,6,455.8,713.5,1428,48
18.5,255.3,6,455.8,711.1,1443,51
19,255.4,6,455.8,711.2,1439,50
19.5,255.8,6,455.8,711.6,1441,50
20,257.5,6,455.8,713.3,1439,49
20.5,257.4,6,455.8,713.2,1440,49
21,257.4,6,455.8,713.2,1446,49
21.5,257.4,6,455.8,713.2,1446,48
22,258,6,455.5,713.5,1456,49
22.5,258.5,6,455.5,714,1462,49
23,258.9,6,455.5,714.4,1470,49
23.5,273.6,18,2856.2,3129.8,1549,60
24,302.3,20,2375,2677.3,1595,61
24.5,303.1,20,2748.9,3052,1662,72
25,343.4,21,2704.2,3047.6,1826,89
25.5,330.4,21,2482.8,2813.2,1806,87
26,330.8,21,2148.3,2479.1,1688,51
26.5,321.9,21,2121.4,2443.3,1663,67
27,328.1,21,2051.3,2379.4,1654,53
27.5,331.3,21,2128.5,2459.8,1647,66
28,337.2,21,2140.3,2477.5,1657,66
28.5,343.8,21,2101.6,2445.4,1674,62
